total_cup_points,species,owner,country_of_origin,farm_name,mill,company,bag_weight_raw,bag_weight_unit,number_of_bags,region,producer,processing_method2,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
82.5,Arabica,juan luis alvarado romero,Guatemala,la esperanza,beneficio ixchel,"unex guatemala, s.a.",69,kg,50,oriente,MARGARITA AVILA DE NUYENS,Washed / Wet,Asociacion Nacional Del Café,2016,"March 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Wet,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,0.1,0,2,Green,2,"March 16th, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
82.5,Arabica,doi tung development project,Thailand,NA,NA,doi tung development project,1,kg,1,thailand,Doi Tung Development Project,Washed / Wet,Specialty Coffee Association,2014,"June 9th, 2015",Doi Tung Development Project,NA,Wet,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,0.12,0,0,Green,0,"June 8th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,800,800,800
82.5,Arabica,松澤宏樹 koju matsuzawa,Thailand,NA,NA,"coffeas co., ltd",20,kg,50,chiangrai,"Coffeas Co., Ltd.",Washed / Wet,Specialty Coffee Institute of Asia,2014,"February 15th, 2015",松澤宏樹 Koju Matsuzawa,Caturra,Wet,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,0.11,0,0,NA,0,"February 15th, 2016",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,1400,1500,1450
82.5,Arabica,shah plantations,"Tanzania, United Republic Of",shah plantation,shah plantation,shah plantations,60,kg,37,karatu arusha,Shah Plantations,Washed / Wet,Africa Fine Coffee Association,2014,"December 18th, 2014",Shah Plantations,Other,Wet,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,0.12,0,0,Green,1,"December 18th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1600,1600,1600
82.5,Arabica,amkeni gourmet coffee group,"Tanzania, United Republic Of",amkeni,amkeni gourmet coffee group,amkeni gourmet coffee group,60,kg,5,moshi,Amkeni Gourmet Coffee Group,Washed / Wet,Africa Fine Coffee Association,2014,"December 12th, 2014",Amkeni Gourmet Coffee Group,Other,Wet,7.75,7,7.42,7.58,7.58,7.58,10,10,10,7.58,0.12,0,0,Bluish-Green,3,"December 12th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,NA,NA,NA
82.5,Arabica,lusso lab,Mexico,finca san el retiro,NA,lusso coffee lab,2,kg,2,chiapas,Santiago & Rosaura Arguello Campos,Washed / Wet,Specialty Coffee Association,2013,"April 14th, 2014",LUSSO LAB,Other,Wet,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,0,0,0,Green,1,"April 14th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1500,1700,1600
82.5,Arabica,ipanema coffees,Brazil,fazenda rio verde,ipanema coffees,ipanema coffees,60,kg,69,south of minas,Ipanema Coffees,Semi-washed / Semi-pulped,Specialty Coffee Association,2013/2014,"January 14th, 2014",Ipanema Coffees,Yellow Bourbon,Semi-washed,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,0.11,0,0,Bluish-Green,0,"January 14th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1260,1260,1260
82.5,Arabica,juan luis alvarado romero,Guatemala,la union monte verde,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,"AGRICOLA MONTE VERDE, S.A.",Washed / Wet,Asociacion Nacional Del Café,2013,"May 30th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,0.12,0,0,Green,4,"May 30th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
82.5,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,NA,Washed / Wet,Almacafé,2013,"May 7th, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,0.11,0,0,Green,1,"May 7th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
82.5,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,MARGARITA DE NUYENS,Washed / Wet,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,0.11,0,0,Green,0,"February 26th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
82.5,Arabica,saul m. hernandez ramirez,Mexico,la pagua,el mavodo,NA,1,kg,10,san bartolo tutotepec,"VELASCO SAN AGUSTIN, NAZARIO",Washed / Wet,AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Wet,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,0.13,0,0,None,10,"September 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1679,1679,1679
82.5,Arabica,enrique mitre lopez,Mexico,caltuchoco,"zapotitlan de mendez, puebla",cafe de la sierra norte de puebla,1,kg,10,zapotitlan de mendez,ENRIQUE MITRE LOPEZ,Washed / Wet,AMECAFE,2012,"July 26th, 2012",ENRIQUE MITRE LOPEZ,Typica,Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,0.12,0,0,Green,5,"July 26th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1100,1100,1100
82.5,Arabica,enrique eduardo lopez aguilar,Mexico,santa cruz - pante don manuel,NA,finca santa cruz,1,kg,28,la concordia,SUSANA LETICIA LOPEZ AGUILAR,Semi-washed / Semi-pulped,AMECAFE,2012,"June 7th, 2012",Enrique Eduardo Lopez Aguilar,Typica,Semi-washed,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,0.11,0,0,NA,2,"June 7th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1650,1650,1650
82.5,Arabica,juan luis alvarado romero,Guatemala,various,NA,"waelti schoenfeld exportadores de cafe, s.a.",1,kg,275,oriente,VARIOUS,Natural / Dry,Asociacion Nacional Del Café,2012,"March 26th, 2012",Juan Luis Alvarado Romero,Caturra,Dry,7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,7.5,0.11,0,0,Green,5,"March 26th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,NA,NA,NA
82.5,Arabica,jacques pereira carneiro,Brazil,fazenda do sertao,cocarive,exportadora de cafés carmo de minas ltda,60,kg,300,carmo de minas,Nazareth Dias Pereira,Semi-washed / Semi-pulped,NUCOFFEE,2012,"March 16th, 2012",Jacques Pereira Carneiro,Bourbon,Semi-washed,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,0,0,0,Blue-Green,4,"March 16th, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250,1250,1250
82.5,Arabica,racafe & cia s.c.a,Colombia,NA,NA,c.i.racafe & cia s.c.a,70,kg,275,huila,LA PLATA,Washed / Wet,Almacafé,2012,"March 5th, 2012",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,0.11,1,0,Green,3,"March 5th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
82.5,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,cqi,100,lbs,7,kona,NA,Washed / Wet,Specialty Coffee Association,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Wet,7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,7.58,0.12,2,0,Green,3,"February 22nd, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
82.42,Arabica,brian beck,Honduras,carrillo cooperativa,cohorsil,carrillo cooperativa,2,kg,1,"comayagua, honduras",Danilo Carrillo,Washed / Wet,Specialty Coffee Association,2017,"September 27th, 2017",Brian Beck,Other,Wet,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,0.12,0,1,Green,6,"September 27th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1500,1500,1500
82.42,Arabica,juan luis alvarado romero,Guatemala,piamonte,beneficio ixchel,"unex guatemala, s.a.",69,kg,50,san marcos,JORGE LEAL,Washed / Wet,Asociacion Nacional Del Café,2017,"September 8th, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,0.1,0,1,Green,2,"September 8th, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1700,1700,1700
82.42,Arabica,juan luis alvarado romero,Guatemala,las merceditas,beneficio ixchel,"unex guatemala, s.a.",69,kg,50,san marcos,ANGEL DE LEON,Washed / Wet,Asociacion Nacional Del Café,2016,"June 1st, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,0.12,0,0,Green,0,"June 1st, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1700,1700,1700
82.42,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,beneficio ixchel,"unex guatemala, s.a.",69,kg,20,el progreso,JESUS RAMIREZ,Washed / Wet,Asociacion Nacional Del Café,2017,"June 1st, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,0.12,0,0,Green,0,"June 1st, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,157.8864,157.8864,157.8864
82.42,Arabica,juan luis alvarado romero,Guatemala,providencia,beneficio 2000,asociación nacional del café - anacafe -,69,kg,275,santa rosa,"PLANTACIONES AGROPECUARIAS, S.A.",Washed / Wet,Asociacion Nacional Del Café,2017,"January 20th, 2017",Juan Luis Alvarado Romero,Caturra,Wet,7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,7.5,0.11,0,2,Green,3,"January 20th, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,NA,NA,NA
82.42,Arabica,racafe & cia s.c.a,Colombia,NA,bachue,racafe & cia s.c.a,70,kg,43,guayata,NA,Washed / Wet,Almacafé,2016,"August 5th, 2016",Racafe & Cia S.C.A,Caturra,Wet,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,0.11,0,0,Green,1,"August 5th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1600,1600
82.42,Arabica,yunnan coffee exchange,China,menglian gao sanlin coffee factory,menglian gao sanlin coffee factory,yunnan coffee exchange,60,kg,3,yunnan,Menglian Gao Sanlin Coffee Factory,Washed / Wet,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Wet,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,0.1,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1600,1600,1600
82.42,Arabica,gladness obed pallangyo,"Tanzania, United Republic Of",nguruma,NA,tawoca,60,kg,10,arusha meru,GLADNESS OBED PALLANGYO,Washed / Wet,Africa Fine Coffee Association,2015/2016,"November 16th, 2015",Gladness Obed Pallangyo,Ruiru 11,Wet,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,0.13,0,0,Green,7,"November 15th, 2016",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,2285,2285,2285
82.42,Arabica,ipanema coffees,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,2,kg,320,south of minas,Ipanema Agrícola SA,Natural / Dry,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Dry,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
82.42,Arabica,the coffee source inc.,Guatemala,several,ixchel,the coffee source inc.,1,kg,250,atitlan,UNEX,Washed / Wet,Specialty Coffee Association of Costa Rica,2013,"December 18th, 2014",The Coffee Source Inc.,Caturra,Wet,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,0.1,0,0,Green,0,"December 18th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1400,1400,1400
82.42,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los llanitos,la yerba,productos y servicios chilindron s.a. de c.v.,1,kg,10,la yerba,AVELINO CHAVEZ REYNA,Washed / Wet,AMECAFE,2014,"August 14th, 2014",PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,Wet,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,0.11,0,0,Green,0,"August 14th, 2015",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1296,1296,1296
82.42,Arabica,nucoffee,Brazil,fazenda serra negra,NA,nucoffee,60,kg,39,south of minas,Betina Vilela Reis,Semi-washed / Semi-pulped,NUCOFFEE,2012,"May 8th, 2014",NUCOFFEE,Catuai,Semi-washed,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,0.12,0,0,Blue-Green,1,"May 8th, 2015",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1000,1000,1000
82.42,Arabica,dane loraas,Peru,NA,NA,sustainable harvest,5,lbs,320,peru,NA,Washed / Wet,Specialty Coffee Association,2013,"January 21st, 2014",Dane Loraas,NA,Wet,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10,10,7.5,0,0,0,Green,3,"January 21st, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
82.42,Arabica,ipanema coffees,Brazil,fazenda rio verde,ipanema coffees,ipanema coffees,60,kg,220,south of minas,Ipanema Coffees,Natural / Dry,Specialty Coffee Association,2013/2014,"December 30th, 2013",Ipanema Coffees,Yellow Bourbon,Dry,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,0,0,0,Green,0,"December 30th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1260,1260,1260
82.42,Arabica,manuel herrera juarez,Mexico,finca los barreales,finca los barreales,NA,1,kg,10,veracruz,MANUEL HERRERA JUAREZ,Washed / Wet,AMECAFE,2013,"December 12th, 2013",MANUEL HERRERA JUAREZ,Bourbon,Wet,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,0.12,0,0,Green,0,"December 12th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1170,1170,1170
82.42,Arabica,brent hall,Honduras,NA,NA,s&d coffee and tea,2,kg,1,NA,NA,Washed / Wet,Specialty Coffee Association,2012,"December 10th, 2013",Brent Hall,NA,Wet,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,7.67,0.09,0,0,None,2,"December 10th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
82.42,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,70,kg,250,huila,NA,Washed / Wet,Almacafé,2013,"May 31st, 2013",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,0.11,0,0,Green,9,"May 31st, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
82.42,Arabica,nestor mendez gomez,Mexico,cipresal,"angel albino corzo, chiapas",cesmach s.c.,1,kg,49,chiapas,EMPERATRIZ GARCIA MUÑOZ,Washed / Wet,AMECAFE,2013,"March 29th, 2013",NESTOR MENDEZ GOMEZ,Typica,Wet,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,0.12,0,0,Green,5,"March 29th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1560,1560,1560
82.42,Arabica,jesus salazar velasco,Mexico,pante san pedro,"san pedro cotzilnam, municipio de aldama, chiapas",carajillo café sa de cv,1,kg,20,san pedro cotzilnam,VICTOR MANUEL LOPEZ VAZQUEZ,Semi-washed / Semi-pulped,AMECAFE,2012,"September 11th, 2012",JESUS SALAZAR VELASCO,Typica,Semi-washed,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,0.13,0,0,Green,2,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400,1400,1400
82.42,Arabica,"el equimite, cafetal biodinámico",Mexico,"cafetal el equimite, rancho agroecológico","cafetal el equimite, rancho agroecológico",NA,1,kg,35,coatepec,GIBRAN LEONARDO CERVANTES COVARRUBIAS,Washed / Wet,AMECAFE,2012,"September 10th, 2012","El Equimite, Cafetal Biodinámico",Typica,Wet,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,0.14,0,0,Green,9,"September 10th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
82.42,Arabica,manuel herrera juarez,Mexico,los barreales 1112lbcat_s110312,"los barreales, teocelo, veracruz",finca los barreales,1,kg,10,xalapa,MANUEL HERRERA JUAREZ,Washed / Wet,AMECAFE,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Caturra,Wet,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,0.13,0,0,Green,1,"August 31st, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1170,1170,1170
82.42,Arabica,dario cesar galeana sanchez,Mexico,corral del diablo lote 1,corral del diablo lote 1,NA,1,kg,74,zihuatanejo de azueta,DARIO FRANCISCO GALEANA SOLIS,Washed / Wet,AMECAFE,2012,"July 25th, 2012",DARIO CESAR GALEANA SANCHEZ,Typica,Wet,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,0.11,0,0,Green,0,"July 25th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
82.42,Arabica,jose daniel cobilt castro,Mexico,cañada fria,huatusco,NA,1,kg,26,veracruz,JOSE DANIEL COBILT CASTRO,Washed / Wet,AMECAFE,2012,"July 11th, 2012",JOSE DANIEL COBILT CASTRO,Pacamara,Wet,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,0.14,0,0,Green,6,"July 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1350,1350,1350
82.42,Arabica,alvaro quiros perez,Mexico,finca nextlalpa,xicotepec de juarez,NA,1,kg,10,xicotepec de juarez,"ALVARO QUIROS PEREZ, MIGUEL QUIROZ PEREZ",Washed / Wet,AMECAFE,2012,"July 3rd, 2012",ALVARO QUIROS PEREZ,Caturra,Wet,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,0.11,0,0,Green,0,"July 3rd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1150,1150,1150
82.42,Arabica,olivia hernandez virves,Mexico,santa rosa,NA,NA,1,kg,1,progreso santa rosa teocelo,OLIVIA HERNANDEZ VIRVES,Washed / Wet,AMECAFE,2012,"June 6th, 2012",OLIVIA HERNANDEZ VIRVES,Bourbon,Wet,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,0.13,0,0,NA,4,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1250,1250,1250
82.42,Arabica,finca las nieves,Mexico,fln mirador,finca las nieves,finca las nieves,1,kg,10,fln mirador,ROBIN CLEAVER,Washed / Wet,AMECAFE,2012,"April 9th, 2012",FINCA LAS NIEVES,Typica,Wet,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,0.12,0,0,Bluish-Green,0,"April 9th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1450,1450,1450
82.42,Arabica,carcafe ltda ci,Colombia,NA,NA,carcafe ltda,70,kg,250,huila,JAIME PULIDO / ALBINO MAHECHA / FREDDY MENDEZ,Natural / Dry,Almacafé,2012,"January 31st, 2012",CARCAFE LTDA CI,Caturra,Dry,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,0,0,0,NA,2,"January 30th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
82.42,Arabica,nucoffee,Brazil,santa mariana,NA,nucoffee,60,kg,51,south of minas,Glycia Maria,Natural / Dry,NUCOFFEE,2012,"January 23rd, 2012",NUCOFFEE,Arusha,Dry,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,0.11,0,0,Blue-Green,2,"January 22nd, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,NA,NA,NA
82.42,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora bonanza - armenia quindioa,exportadora de cafe condor s.a,70,kg,250,huila,NA,Washed / Wet,Almacafé,2011,"December 22nd, 2011",Exportadora de Cafe Condor S.A,Caturra,Wet,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,0,0,0,Green,2,"December 21st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
82.33,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v.,cigrah s.a de c.v,69,kg,275,comayagua,Reinerio Zepeda,Washed / Wet,Instituto Hondureño del Café,2017,"April 6th, 2017",Bismarck Castro,Caturra,Wet,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,0.1,0,1,Green,8,"April 6th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1396,1396,1396
82.33,Arabica,pedro santos e silva,Brazil,fazenda são pedro,alfenas,olam,2,kg,320,cerrado,Tulio Taft Bovaretto,Natural / Dry,Brazil Specialty Coffee Association,2016,"February 9th, 2017",Pedro Santos e Silva,Catuai,Dry,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,0.11,0,3,Green,11,"February 9th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,982,982,982
82.33,Arabica,gabriel barbara,Brazil,NA,copag,volcafe ltda.,59,kg,305,cerrado,NA,Natural / Dry,Brazil Specialty Coffee Association,2016 / 2017,"October 13th, 2016",Gabriel Barbara,NA,Dry,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,0.11,0,4,Green,14,"October 13th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
82.33,Arabica,ipanema coffees,Brazil,capoeirinha,dry mill,ipanema coffees,60,kg,320,south of minas,Ipanema Agricola,Natural / Dry,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Dry,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,0.11,0,2,Bluish-Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,934,934,934
82.33,Arabica,"ceca, s.a.",Costa Rica,gamboa,beneficio montañas del diamante,"ceca,s.a.",69,kg,100,tarrazu,Martin Gutierrez,Washed / Wet,Specialty Coffee Association of Costa Rica,2015,"July 15th, 2016","CECA, S.A.",Caturra,Wet,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,0.1,6,1,Bluish-Green,3,"July 15th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850,1850,1850
