total_cup_points,species,country_of_origin,farm_name,mill,company,bag_weight_raw,bag_weight_unit,number_of_bags,region,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance
83.5,Arabica,Colombia,NA,NA,c.i.racafe & cia s.c.a,70,kg,175,huila,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.58,7.58,7.67,7.67,7.67
83.5,Arabica,Guatemala,conquista / morito,beneficio ixchel,coffee resources inc.,2,kg,250,oriente,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Wet,7.5,7.5,7.75,7.5,8,7.67
83.42,Arabica,Colombia,NA,neiva,carcafe ltda,29,kg,300,huila,2017 / 2018,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Wet,7.5,7.58,7.58,7.5,7.75,7.83
83.42,Arabica,Guatemala,piamonte,beneficio ixchel,"unex guatemala, s.a.",69,kg,50,san marcos,2017,"August 23rd, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,7.75,7.5,7.58,7.58,7.67
83.42,Arabica,Colombia,NA,cartago,carcafe ltda,29,kg,600,huila,2016,"May 10th, 2017",CARCAFE LTDA CI,Caturra,Wet,7.67,7.67,7.5,7.67,7.67,7.58
83.42,Arabica,Costa Rica,gamboa,beneficio montañas del diamante,"ceca,s.a.",69,kg,275,tarrazu,2016,"February 17th, 2017","CECA, S.A.",Caturra,Wet,7.58,7.5,7.42,7.92,7.5,7.67
83.42,Arabica,Uganda,bulago & buginyanya,bcu,bugisu cooperative union,1218,kg,20,eastern,2015,"July 21st, 2016",Bugisu Cooperative Union,SL14,Wet,7.58,7.75,7.33,7.75,7.67,7.58
83.42,Arabica,Thailand,matsuzawa coffee,matsuzawa coffee,matsuzawa coffee,25,kg,500,thailand,2015,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Catimor,Wet,7.5,7.58,7.75,7.5,7.75,7.67
83.42,Arabica,El Salvador,la joya,el borbollon,consejo salvadoreño del café,69,kg,275,apaneca,2016,"April 25th, 2016",Consejo Salvadoreño del Café,Bourbon,Wet,7.58,7.5,7.75,7.58,7.75,7.67
83.42,Arabica,Colombia,NA,neiva,carcafe ltda,70,kg,275,huila,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Dry,7.58,7.67,7.58,7.67,7.58,7.67
83.42,Arabica,Brazil,cachoeira da grama farm,NA,bourbon specialty coffees,60,kg,300,vale da grama,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Semi-washed,7.33,7.83,7.75,7.5,7.42,7.83
83.42,Arabica,"Tanzania, United Republic Of",ngila estate,ngila estate ltd,ngila estate ltd,60,kg,39,karatu northern,2014,"December 12th, 2014",Ngila Estate Ltd,Bourbon,Wet,7.75,7.67,7.58,7.67,7.58,7.58
83.42,Arabica,Colombia,NA,trilladora boananza,ecom cca sa,70,kg,250,huila,2014/2015,"October 15th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Wet,7.58,7.58,7.25,7.75,7.75,8.58
83.42,Arabica,Guatemala,el papaturro,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,2013,"August 21st, 2014",Juan Luis Alvarado Romero,Bourbon,Dry,7.75,7.83,7.33,7.83,7.5,7.67
83.42,Arabica,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",69,kg,250,antigua,2014,"February 18th, 2014",Juan Luis Alvarado Romero,Caturra,Wet,7.67,7.75,7.5,7.83,7.58,7.5
83.42,Arabica,Guatemala,el morito,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,2013,"July 16th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,7.5,7.75,7.42,7.75,7.75
83.42,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,13,kona,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.42,7.75,7.67,7.58,7.67,7.67
83.42,Arabica,Colombia,various,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,cundinamarca,2012,"June 26th, 2012",Exportadora de Cafe Condor S.A,Caturra,Wet,7.5,7.75,7.58,7.5,7.67,7.75
83.33,Arabica,Colombia,various,bonanza - armenia,exportadora de cafe condor s.a,70,kg,275,huila,2016,"November 8th, 2016",Exportadora de Cafe Condor S.A,Caturra,Wet,7.75,7.5,7.75,7.58,7.58,7.58
83.33,Arabica,Colombia,NA,bachue,racafe & cia s.c.a,70,kg,130,guayata,2016,"June 15th, 2016",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.58,7.58,7.42,7.67,7.75
83.33,Arabica,Colombia,NA,bachue,racafe & cia s.c.a,70,kg,275,huila,2016,"May 5th, 2016",Racafe & Cia S.C.A,Caturra,Wet,7.83,7.58,7.58,7.58,7.5,7.58
83.33,Arabica,Brazil,rio verde,ipanema coffees,ipanema coffees,2,kg,10,south of minas,2015/2016,"October 12th, 2015",Ipanema Coffees,Catuai,Semi-washed,7.5,7.83,7.33,7.58,7.58,7.92
83.33,Arabica,Mexico,ecc,ecc,exportadora café california,1,kg,275,chiapas,2014,"July 14th, 2015",ANDREAS KUSSMAUL,Caturra,Wet,7.75,7.75,7.5,7.67,7.5,7.58
83.33,Arabica,Colombia,various,trilladora agricola,exportadora de cafe condor s.a,70,kg,275,santander,2015,"April 8th, 2015",Exportadora de Cafe Condor S.A,Caturra,Wet,7.67,7.75,7.42,7.83,7.83,7.42
83.33,Arabica,"Tanzania, United Republic Of",mondul coffee estate,mondul coffee estate,mondul coffee estate,60,kg,10,arusha,2014,"December 12th, 2014",AFCA,Other,Semi-washed,7.75,7.58,7.67,7.58,7.58,7.58
83.33,Arabica,Mexico,el pino,"el pino, cosautlan de carvajal","café andrade, s.a. de c.v.",1,kg,200,veracruz,2013,"July 15th, 2014",J.ANDRADE,Other,Wet,7.67,7.67,7.58,7.67,7.5,7.58
83.33,Arabica,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,3,lbs,250,san ramon,2014,"April 7th, 2014",The Coffee Source Inc.,Caturra,Wet,7.67,7.67,7.42,7.67,7.67,7.67
83.33,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,12,kona,2014,"February 25th, 2014",Eileen Koyanagi,Hawaiian Kona,Dry,7.83,7.58,7.83,7.67,7.92,8
83.33,Arabica,Costa Rica,several,several - coricafe dry mill,coricafe s.a.,1,kg,250,central valley,2013,"February 14th, 2014",Eric Thormaehlen,Catuai,Wet,7.5,7.67,7.67,7.5,7.83,7.17
83.33,Arabica,Peru,NA,NA,sustainable harvest,5,lbs,280,NA,2013,"January 21st, 2014",Dane Loraas,NA,Wet,7.83,7.75,7.58,7.83,7.92,7.58
83.33,Arabica,Haiti,marre blanche,NA,itiah coffee llc.,4,lbs,2,"thiotte, haiti",2012,"October 3rd, 2013",ITIAH COFFEE LLC,Typica,Wet,7.58,7.5,7.67,7.5,7.83,7.42
83.33,Arabica,Colombia,NA,neiva,carcafe ltda,70,kg,250,pitalito,2013,"April 26th, 2013",CARCAFE LTDA CI,Caturra,Dry,7.67,7.67,7.5,7.67,7.92,7.42
83.33,Arabica,Guatemala,el sacramento,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,7.67,7.17,7.67,7.67,7.67
83.33,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,7,kona,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.92,7.5,7.58,7.83,7.67,7.67
83.33,Arabica,Burundi,sogestal kayanza,kiriyama washing station,the specialty coffee appraisers institute of asia,60,kg,220,kayanza,2012,"August 29th, 2012",Steven Kil,Bourbon,Wet,7.75,7.67,7.33,7.5,7.5,7.75
83.33,Arabica,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,2012,"May 30th, 2012",Exportadora de Cafe Condor S.A,Caturra,Wet,7.5,7.67,7.67,7.58,7.67,7.58
83.25,Arabica,Mexico,corta pico,la catedral del cafe,cafe de don balbino s.c. de r.l. de c.v.,50,kg,50,sierra madre occidental,2017,"March 7th, 2017",CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Typica,Wet,7.67,7.83,7.42,7.83,7.33,7.5
83.25,Arabica,Costa Rica,estate la patricia,micro beneficio la cabaña-javier meza,bold coast coffee,46,kg,29,tarrazu,2016,"January 30th, 2017",Troy Quimby,Catuai,Other,7.5,7.5,7.83,7.5,7.67,7.67
83.25,Arabica,Costa Rica,coopellanobonito,coocafe r.l,panamerican coffee trading,69,kg,275,tarrazu,2015,"September 20th, 2016",Rodrigo Soto,NA,Wet,7.83,7.5,7.42,7.67,7.5,7.67
83.25,Arabica,Guatemala,linda vista,linda vista,mercon guatemala s.a.,0,kg,275,nuevo oriente,2016,"August 12th, 2016",Juan Luis Alvarado Romero,Pacas,Wet,7.5,7.58,7.42,7.83,7.67,7.58
83.25,Arabica,Uganda,kawacom uganda ltd sipi farmers group,kawacom,kawacom uganda ltd,9000,kg,150,"sipi, mt elgon",2015,"May 19th, 2016",Kawacom Uganda LTD,SL14,Wet,7.5,7.67,7.67,7.42,7.67,7.67
83.25,Arabica,Colombia,NA,neiva,carcafe ltda,35,kg,304,huila,2015/2016,"November 27th, 2015",CARCAFE LTDA CI,Caturra,Dry,7.58,7.67,7.67,7.17,7.75,7.83
83.25,Arabica,Mexico,los charcos,la yerba,productos y servicios chilindron s.a. de c.v.,2,kg,11,cuarenteño,2015,"July 14th, 2015",PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,Dry,7.83,7.75,7.5,7.58,7.58,7.58
83.25,Arabica,Taiwan,sunshine valley estate 向陽高山咖啡,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,15,kg,10,natou county,2015,"June 18th, 2015","Lin, Che-Hao Krude 林哲豪",Bourbon,Wet,7.67,7.5,7.5,7.5,7.67,7.83
83.25,Arabica,Taiwan,以勒咖啡,以勒咖啡,宸嶧國際,60,kg,10,南投國姓,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Wet,7.92,7.83,7.75,7.58,7.5,7.33
83.25,Arabica,Colombia,NA,trilladora boananza,ecom cca sa,70,kg,250,eje cafetero,2014,"June 24th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Dry,7.58,7.58,7.5,7.58,7.58,7.75
83.25,Arabica,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",69,kg,26,antigua,2014,"March 7th, 2014",Juan Luis Alvarado Romero,Caturra,Wet,7.5,7.67,7.58,7.67,7.67,7.5
83.25,Arabica,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,275,huila,2013,"August 2nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.83,7.5,7.67,7.33,7.67,7.67
83.25,Arabica,Mexico,various,productores de cafes especiales sc,"finca triunfo verde, s.c.",1,kg,200,chiapas,2013,"March 29th, 2013",CALIXTO GUILLEN VAZQUEZ,Bourbon,Wet,7.58,7.75,7.5,7.5,7.58,7.58
83.25,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,11,kona,2012,"March 21st, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.58,7.75,7.83,8,8.08,7.67
83.25,Arabica,Mexico,finca teocelo,monte blanco,finca teocelo,1,kg,10,veracruz,2012,"August 1st, 2012",ERNESTO RODRIGUEZ LUNA,Mundo Novo,Wet,7.75,7.58,7.58,7.58,7.5,7.58
83.25,Arabica,Mexico,mata larga,finca mata larga,NA,1,kg,54,fortín de las flores,2012,"July 11th, 2012",MODESTO LANDEROS FLORES,Caturra,Wet,7.75,7.75,7.42,7.92,7.33,7.5
83.25,Arabica,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",1,kg,250,oriente,2012,"July 9th, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,7.58,7.08,7.83,7.42,8.08
83.25,Arabica,Brazil,água limpa,NA,nucoffee,60,kg,30,grama valley,2012,"February 23rd, 2012",NUCOFFEE,Yellow Bourbon,Semi-washed,7.75,7.67,7.5,7.58,7.58,7.58
83.25,Arabica,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,2012,"February 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Wet,7.67,7.58,7.58,7.42,7.83,7.58
83.25,Arabica,Colombia,NA,NA,c.i.racafe & cia s.c.a,70,kg,175,la plata,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.67,7.5,7.5,7.58,7.67
83.17,Arabica,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,60,kg,320,south of minas,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Dry,7.67,7.42,7.5,7.58,7.67,7.58
83.17,Arabica,Guatemala,beneficio el torreon,beneficio ixchel,"unex guatemala, s.a.",69,kg,275,oriente,2017,"August 24th, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.58,7.58,7.33,7.67,7.75,7.58
83.17,Arabica,"Tanzania, United Republic Of",mamsera,rafiki (coffee) limited,volcafe/taylorwinch tanzania ltd,60,kg,320,moshi,2016,"June 20th, 2017",Taylor Winch (T) Ltd,Bourbon,Wet,7.67,7.58,7.42,7.67,7.67,7.58
83.17,Arabica,Vietnam,apollo estate,yes,"sunvirtue co., ltd.",2,kg,1,dala,2017,"May 8th, 2017","Sunvirtue Co., Ltd.",Catimor,Dry,7.58,7.42,7.08,7.33,7.58,8.58
83.17,Arabica,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",1500,kg,250,antigua,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Wet,7.67,7.75,7.42,7.75,7.58,7.5
83.17,Arabica,Honduras,bethel,dry mill,cadexsa,69,kg,275,marcala,2016,"May 2nd, 2016",CADEXSA,Catuai,Wet,7.67,7.67,7.5,7.67,7.5,7.67
83.17,Arabica,China,chen lin,mojiang jinggong estate speciality development co.ltd mill,yunnan coffee exchange,60,kg,3,yunnan,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Wet,7.5,7.67,7.33,7.67,7.67,7.67
83.17,Arabica,China,yunnan success trade co.ltd,yunnan success trade co.ltd mill,yunnan coffee exchange,60,kg,3,dehong prefecture,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Wet,7.67,7.67,7.5,7.67,7.42,7.58
83.17,Arabica,El Salvador,agua caliente,agua caliente,consejo salvadoreño del café,69,kg,275,apaneca,2016,"March 29th, 2016",Consejo Salvadoreño del Café,Bourbon,Wet,7.5,7.5,7.33,7.67,8,7.67
83.17,Arabica,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",69,kg,150,antigua,2015,"October 29th, 2015",Juan Luis Alvarado Romero,Bourbon,Wet,7.5,7.75,7.5,7.83,7.58,7.5
83.17,Arabica,Guatemala,"la esperanza, margarita nuyes",beneficio ixchel,"unex guatemala, s.a.",69,kg,100,oriente,2015,"September 29th, 2015",Juan Luis Alvarado Romero,Bourbon,Wet,7.92,7.67,7.42,7.75,7.5,7.5
83.17,Arabica,Kenya,NA,NA,taylor winch (coffee) ltd,2,kg,300,kenya,2014,"July 3rd, 2015",Taylor Winch (Coffee) Ltd.,SL28,Wet,7.83,7.75,7.67,7.75,7.83,8.5
83.17,Arabica,Thailand,NA,NA,doi tung development project,1,kg,1,thailand,2014,"June 9th, 2015",Doi Tung Development Project,NA,Wet,7.67,7.58,7.58,7.75,7.42,7.67
83.17,Arabica,"Tanzania, United Republic Of",myanganyanga,tutunze kahawa ltd,tutunze kahawa ltd,60,kg,180,mbinga,2014,"December 12th, 2014",Tutunze Kahawa Ltd,Other,Wet,7.58,7.67,7.67,7.58,7.42,7.58
83.17,Arabica,Colombia,NA,NA,racafe & cia s.c.a,70,kg,232,huila,2014,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Wet,7.58,7.5,7.5,7.67,7.5,7.67
83.17,Arabica,Uganda,kaptanya,gumutindo,kabum trading company,60,kg,84,eastern,2014,"October 28th, 2014",Kabum Trading company,SL14,Wet,8,7.67,7.5,7.42,7.33,7.58
83.17,Arabica,Colombia,unkown,unkown,green mountain coffee,4,lbs,1,NA,2014,"August 25th, 2014",Cafe Politico,NA,Wet,7.58,7.75,7.5,7.58,7.58,7.58
83.17,Arabica,Honduras,el cerron,rio hamaca,"olam honduras, s.a.",1,kg,275,san marcos,2013,"April 12th, 2014",Mayra Yessenia Torres,Catuai,Dry,7.5,7.5,7.5,7.67,7.67,7.67
83.17,Arabica,Honduras,los hicaques,cigrah sps,cigrah,1,kg,275,comayagua,2014/2015,"April 8th, 2014",NA,Caturra,Dry,7.67,7.67,7.5,7.67,7.5,7.67
83.17,Arabica,Guatemala,nueva granada,beneficio nueva granada,"agricola nueva granada, s.a.",69,kg,200,san marcos,2014,"March 27th, 2014",Juan Luis Alvarado Romero,Catuai,Wet,7.33,7.83,7.17,8.17,7.33,7.67
83.17,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,6,kona,2013,"February 7th, 2014",Eileen Koyanagi,Hawaiian Kona,Dry,7.5,7.5,7.58,7.42,7.92,7.67
83.17,Arabica,"Tanzania, United Republic Of",NA,rafiki (coffee) limited,taylor winch (t) ltd,1,kg,300,kilimanjaro,2014,"January 31st, 2014",Balam Hinyula,Bourbon,Wet,7.58,7.5,7.58,7.75,7.58,7.58
83.17,Arabica,Guatemala,finca el morito,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,2013,"April 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,7.83,7.33,7.67,7.5,7.67
83.17,Arabica,Mexico,santa cecilia,"angel albino corzo, chiapas",cesmach s.c.,1,kg,45,chiapas,2013,"March 29th, 2013",NESTOR MENDEZ GOMEZ,Typica,Wet,7.75,7.58,7.58,7.58,7.5,7.42
83.17,Arabica,Mexico,tlapacoya,"el chipoco, municipio de tlanchinol",NA,1,kg,10,"tlanchinol, hidalgo",2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Wet,7.75,7.67,7.58,7.5,7.42,7.58
83.17,Arabica,Mexico,la loma,el pedregal,NA,1,kg,10,san bartolo tutotepec,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Pacamara,Wet,7.58,7.75,7.42,7.67,7.5,7.58
83.17,Arabica,Colombia,NA,NA,c.i.racafe & cia s.c.a,70,kg,275,huila,2012,"August 31st, 2012",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.5,7.5,7.5,7.58,8.17
83.17,Arabica,Mexico,el mirador,el mirador,NA,1,kg,15,san isidro,2012,"July 11th, 2012",FERNANDO MENDOZA APARICIO,Typica,Wet,7.75,7.5,7.42,7.75,7.58,7.58
83.17,Arabica,Colombia,NA,trilladora bonanza - armenia quindioa,exportadora de cafe condor s.a,70,kg,250,huila,2012,"June 8th, 2012",Exportadora de Cafe Condor S.A,Caturra,Wet,7.58,7.67,7.5,7.58,7.67,7.67
83.17,Arabica,Mexico,finca nueva linda,agroindustrias unidas de mexico,ecomtrading,1,kg,250,la concordia,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Wet,7.5,7.75,7.58,7.58,7.67,7.5
83.17,Arabica,Brazil,campo das flores,NA,nucoffee,60,kg,50,south of minas,2012,"March 19th, 2012",NUCOFFEE,Mundo Novo,Dry,7.75,7.67,7.58,7.5,7.58,7.58
83.17,Arabica,Brazil,são francisco da serra,NA,nucoffee,60,kg,100,mogiana,2012,"February 17th, 2012",NUCOFFEE,Mundo Novo,Dry,7.92,7.58,7.5,7.58,7.42,7.5
83.17,Arabica,Guatemala,conquista / morito,beneficio ixchel,coffee resources inc.,2,kg,250,oriente,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Wet,7.75,7.5,7.67,7.5,7.92,8
83.17,Arabica,Brazil,fazenda do lobo,NA,nucoffee,60,kg,25,south of minas,2011,"December 3rd, 2011",NUCOFFEE,Mundo Novo,Semi-washed,7.75,7.5,7.58,7.5,7.75,7.5
83.08,Arabica,Colombia,NA,bogota,carcafe ltda,70,kg,275,cundinamarca,2016,"February 20th, 2017",CARCAFE LTDA CI,Caturra,Wet,7.58,7.67,7.33,7.67,7.75,7.58
83.08,Arabica,Colombia,NA,bachue,racafe & cia s.c.a,70,kg,275,huila,2016,"January 10th, 2017",Racafe & Cia S.C.A,Caturra,Wet,7.75,7.5,7.5,7.42,8,7.75
83.08,Arabica,Brazil,capoeirinha,dry mill,ipanema coffees,60,kg,320,south of minas,2015,"April 25th, 2016",Ipanema Coffees,Yellow Bourbon,Other,7.58,7.58,7.58,7.5,7.67,7.58
83.08,Arabica,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,2,kg,320,south of minas,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Dry,7.33,7.67,7.67,7.33,7.75,7.42
83.08,Arabica,Taiwan,kan tou mountain coffee 崁頭山咖啡館,kan tou mountain coffee 崁頭山咖啡館,taiwan coffee laboratory,60,kg,20,"dongshan dist., tainan city 臺南市東山區",2015,"May 19th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Dry,7.83,7.92,7.5,7.83,7.67,7.25
83.08,Arabica,Brazil,NA,NA,bourbon specialty coffees,60,kg,300,chapadão de ferro (cerrado mineiro),2015,"April 20th, 2015",BOURBON SPECIALTY COFFEES,Mundo Novo,Dry,7.42,7.67,7.58,7.5,7.75,7.67
83.08,Arabica,Brazil,rio verde,ipanema coffees,ipanema coffees,2,kg,300,south of minas,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Wet,7.58,7.83,7.67,7.42,7.42,7.5
83.08,Arabica,Costa Rica,various,coricafe sa,coricafe s.a.,1,kg,250,central valley,2014,"July 15th, 2014",Eric Thormaehlen,Catuai,Wet,7.83,7.33,7.5,7.67,7.58,7.67
83.08,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,16,kona,2013,"February 19th, 2014",Eileen Koyanagi,Hawaiian Kona,Dry,7.33,7.75,7.58,7.33,7.83,7.67
83.08,Arabica,Taiwan,alishan zou zhu yuan 阿里山鄒築園,alishan zou zhu yuan 阿里山鄒築園,blossom valley宸嶧國際,30,kg,50,chiayi alishan 嘉義縣阿里山鄉,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.75,7.75,7.5,7.5,7.5,7.5
83.08,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,6,kona,2012,"March 8th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.83,7.83,7.33,7.17,7.75,7.67
83.08,Arabica,Mexico,santa maria,NA,finca las nubes,1,kg,10,santa catarina juquila,2012,"June 6th, 2012",MARIA LUISA DEL CARMEN ROJAS NARVAEZ,Other,Wet,7.75,7.67,7.42,7.75,7.5,7.5
83.08,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,7,kona,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.67,7.58,7.5,7.67,7.92,8
83.08,Arabica,United States (Hawaii),NA,NA,cqi,100,lbs,6,kona,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Wet,7.33,7.58,7.58,7.92,7.67,7.58
83,Arabica,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,60,kg,320,south of minas,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Dry,7.58,7.5,7.5,7.75,7.67,7.5
83,Arabica,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,60,kg,320,south of minas,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Dry,7.5,7.58,7.58,7.67,7.58,7.5
83,Arabica,Brazil,capoeirinha,dry mill,ipanema coffees,60,kg,320,south of minas,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Dry,7.5,7.67,7.58,7.67,7.58,7.42
83,Arabica,Uganda,isule farmers group,ibero,ucfa,60,kg,310,"kasese, mt. rwenzori",2015,"July 18th, 2016",UCFA,Bourbon,Wet,7.67,7.58,7.42,7.42,7.83,7.5
83,Arabica,Uganda,ibanda farmers group,ibero,ucfa,60,kg,325,"kasese, mt. rwenzori",2015,"July 18th, 2016",UCFA,Bourbon,Dry,7.67,7.67,7.5,7.58,7.42,7.5
83,Arabica,Vietnam,apollo estate,apollo estate,"sunvirtue co., ltd.",2,kg,2,vietnam cau dat,2014,"December 28th, 2015","Sunvirtue Co., Ltd.",Caturra,Other,7.75,7.67,7.58,7.58,7.42,7.67
83,Arabica,Guatemala,el chile,la conquista,mercon guatemala s.a.,69,kg,275,nuevo oriente,2015,"July 8th, 2015",Juan Luis Alvarado Romero,Catuai,Wet,7.67,7.75,7.33,7.92,7.42,7.5
83,Arabica,Guatemala,nueva granada,tradicional,"agricola nueva granada, s.a.",69,kg,200,"el tumbador, san marcos",2015,"June 5th, 2015",Juan Luis Alvarado Romero,Catuai,Wet,7.75,7.67,7.33,7.75,7.5,7.42
83,Arabica,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",69,kg,250,antigua,2015,"April 23rd, 2015",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,7.67,7.25,7.67,7.75,7.5
83,Arabica,Brazil,fazenda santo antonio,dry,atlantica eportacao e importcao ltda,2,kg,305,high mogiana,2014,"February 13th, 2015",Irene Alves Santos,Catuai,Dry,7.67,7.67,7.67,7.5,7.42,7.5
83,Arabica,Taiwan,雅慕伊,雅慕伊,宸嶧國際,60,kg,10,嘉義阿里山,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Wet,7.92,7.92,7.83,7.58,7.33,7.25
83,Arabica,Uganda,kabeywa county,kucofa farmers group,star cafe ltd,60,kg,300,kapchorwa,2013,"June 26th, 2014",Star Cafe Ltd,SL14,Wet,7.83,7.58,7.5,7.5,7.58,7.5
83,Arabica,United States (Puerto Rico),hacienda caracolillo,hacienda alto grande,"hacienda alto grande, llc.",5,lbs,17,yauco region,2013,"June 9th, 2014",German Negron,Other,Wet,7.67,7.5,7.67,7.83,7.75,7.83
83,Arabica,Guatemala,grupo medina (pequeños productores),beneficio siembras vision (154),"siembras vision, s.a.",69,kg,26,antigua,2014,"March 7th, 2014",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,7.67,7.42,7.83,7.5,7.5
83,Arabica,Costa Rica,several,several,coricafe s.a.,1,kg,250,central valley,2013,"February 14th, 2014",Eric Thormaehlen,Catuai,Wet,7.67,7.58,7.5,7.58,7.5,7.5
83,Arabica,Brazil,sertao farm,cocarive,exportadora de cafés carmo de minas ltda,2,kg,250,sul de minas,2013/2014,"January 2nd, 2014",Jacques Pereira Carneiro,Yellow Bourbon,Semi-washed,7.75,7.58,7.42,7.67,7.42,7.67
83,Arabica,Colombia,NA,NA,racafe & cia s.c.a,70,kg,120,huila,2013,"November 7th, 2013",Racafe & Cia S.C.A,Caturra,Wet,7.75,7.42,7.33,7.5,7.58,7.17
83,Arabica,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,2013,"August 2nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.83,7.5,7.58,7.33,7.5,7.67
83,Arabica,Colombia,NA,neiva,carcafe ltda,70,kg,250,pitalito,2013,"March 15th, 2013",CARCAFE LTDA CI,Caturra,Dry,7.33,7.67,7.75,7.42,7.75,7.58
